,from,to,type,pathway
395,Gal,Galr3,Secreted Signaling,
396,Spx,Galr3_gpr151,Secreted Signaling,
397,Spx,Galr3,Secreted Signaling,
398,Galp,Galr3_gpr151,Secreted Signaling,
399,Galp,Galr3,Secreted Signaling,
400,Csf2,Csf2rb_csf2ra,Secreted Signaling,
401,Csf2,Csf2rb,Secreted Signaling,
402,Csf2,Csf2ra,Secreted Signaling,
403,F2,Gp1ba_gp1bb,Secreted Signaling,
404,F2,Gp1ba,Secreted Signaling,
405,F2,Gp1bb,Secreted Signaling,
406,Vwf,Gp1ba_gp1bb,Secreted Signaling,
407,Vwf,Gp1ba,Secreted Signaling,
408,Vwf,Gp1bb,Secreted Signaling,
409,Hdc,Hrh2,Secreted Signaling,
410,Hdc,Hrh1,Secreted Signaling,
411,Hdc,Hrh4,Secreted Signaling,
412,Hdc,Hrh3,Secreted Signaling,
413,Igf1,Igf1r_gpc3,Secreted Signaling,
414,Igf1,Igf1r,Secreted Signaling,
415,Igf1,Gpc3,Secreted Signaling,
416,Il10,Il10ra_il10rb,Secreted Signaling,
417,Il10,Il10ra,Secreted Signaling,
418,Il10,Il10rb,Secreted Signaling,
419,Il11,Gm13305_il6st,Secreted Signaling,
420,Il11,Gm13305,Secreted Signaling,
421,Il11,Il6st,Secreted Signaling,
422,Il12a_il12b,Il12rb1_il12rb2,Secreted Signaling,
423,Il12a_il12b,Il12rb1,Secreted Signaling,
424,Il12a_il12b,Il12rb2,Secreted Signaling,
425,Il12a,Il12rb1_il12rb2,Secreted Signaling,
426,Il12a,Il12rb1,Secreted Signaling,
427,Il12a,Il12rb2,Secreted Signaling,
428,Il12b,Il12rb1_il12rb2,Secreted Signaling,
429,Il12b,Il12rb1,Secreted Signaling,
430,Il12b,Il12rb2,Secreted Signaling,
431,Il4,Il13ra1_il4ra,Secreted Signaling,
432,Il4,Il13ra1,Secreted Signaling,
433,Il4,Il4ra,Secreted Signaling,
434,Il13,Il13ra1_il4ra,Secreted Signaling,
435,Il13,Il13ra1,Secreted Signaling,
436,Il13,Il4ra,Secreted Signaling,
437,Il15,Il15ra_il2rb,Secreted Signaling,
438,Il15,Il15ra,Secreted Signaling,
439,Il15,Il2rb,Secreted Signaling,
440,Il17a_il17f,Il17ra_il17rc,Secreted Signaling,
441,Il17a_il17f,Il17ra,Secreted Signaling,
442,Il17a_il17f,Il17rc,Secreted Signaling,
443,Il17a,Il17ra_il17rc,Secreted Signaling,
444,Il17a,Il17ra,Secreted Signaling,
445,Il17a,Il17rc,Secreted Signaling,
446,Il17f,Il17ra_il17rc,Secreted Signaling,
447,Il17f,Il17ra,Secreted Signaling,
448,Il17f,Il17rc,Secreted Signaling,
449,Il25,Il17ra_il17rb,Secreted Signaling,
450,Il25,Il17ra,Secreted Signaling,
451,Il25,Il17rb,Secreted Signaling,
452,Il17c,Il17ra_il17re,Secreted Signaling,
453,Il17c,Il17ra,Secreted Signaling,
454,Il17c,Il17re,Secreted Signaling,
455,Il18,Il18r1_il18rap,Secreted Signaling,
456,Il18,Il18r1,Secreted Signaling,
457,Il18,Il18rap,Secreted Signaling,
458,Il1a,Il1r1_il1rap,Secreted Signaling,
459,Il1a,Il1r1,Secreted Signaling,
460,Il1a,Il1rap,Secreted Signaling,
461,Il1b,Il1r1_il1rap,Secreted Signaling,
462,Il1b,Il1r1,Secreted Signaling,
463,Il1b,Il1rap,Secreted Signaling,
464,Il1rn,Il1r1_il1rap,Secreted Signaling,
465,Il1rn,Il1r1,Secreted Signaling,
466,Il1rn,Il1rap,Secreted Signaling,
467,Il1a,Il1r2_il1rap,Secreted Signaling,
468,Il1a,Il1r2,Secreted Signaling,
469,Il1b,Il1r2_il1rap,Secreted Signaling,
470,Il1b,Il1r2,Secreted Signaling,
471,Il1rn,Il1r2_il1rap,Secreted Signaling,
472,Il1rn,Il1r2,Secreted Signaling,
473,Il24,Il20ra_il20rb,Secreted Signaling,
474,Il24,Il20ra,Secreted Signaling,
475,Il24,Il20rb,Secreted Signaling,
476,Il20,Il20ra_il20rb,Secreted Signaling,
477,Il20,Il20ra,Secreted Signaling,
478,Il20,Il20rb,Secreted Signaling,
479,Il19,Il20ra_il20rb,Secreted Signaling,
480,Il19,Il20ra,Secreted Signaling,
481,Il19,Il20rb,Secreted Signaling,
482,Il24,Il22ra1_il20rb,Secreted Signaling,
483,Il24,Il22ra1,Secreted Signaling,
484,Il20,Il22ra1_il20rb,Secreted Signaling,
485,Il20,Il22ra1,Secreted Signaling,
486,Il21,Il21r_il2rg,Secreted Signaling,
487,Il21,Il21r,Secreted Signaling,
488,Il21,Il2rg,Secreted Signaling,
489,Il22,Il22ra1_il10rb,Secreted Signaling,
490,Il22,Il22ra1,Secreted Signaling,
491,Il22,Il10rb,Secreted Signaling,
492,Il12b_il23a,Il12rb1_il23r,Secreted Signaling,
493,Il12b_il23a,Il12rb1,Secreted Signaling,
494,Il12b_il23a,Il23r,Secreted Signaling,
495,Il12b,Il12rb1_il23r,Secreted Signaling,
496,Il12b,Il23r,Secreted Signaling,
497,Il23a,Il12rb1_il23r,Secreted Signaling,
498,Il23a,Il12rb1,Secreted Signaling,
499,Il23a,Il23r,Secreted Signaling,
500,Ebi3_il27,Il27ra_il6st,Secreted Signaling,
501,Ebi3_il27,Il27ra,Secreted Signaling,
502,Ebi3_il27,Il6st,Secreted Signaling,
503,Ebi3,Il27ra_il6st,Secreted Signaling,
504,Ebi3,Il27ra,Secreted Signaling,
505,Ebi3,Il6st,Secreted Signaling,
506,Il27,Il27ra_il6st,Secreted Signaling,
507,Il27,Il27ra,Secreted Signaling,
508,Il27,Il6st,Secreted Signaling,
509,Ifnl2,Ifnlr1_il10rb,Secreted Signaling,
510,Ifnl2,Ifnlr1,Secreted Signaling,
511,Ifnl2,Il10rb,Secreted Signaling,
512,Il2,Il2ra_il2rb_il2rg,Secreted Signaling,
513,Il2,Il2ra,Secreted Signaling,
514,Il2,Il2rb,Secreted Signaling,
515,Il2,Il2rg,Secreted Signaling,
516,Il2,Il2rb_il2rg,Secreted Signaling,
517,Il33,Il1rl1_il1rap,Secreted Signaling,
518,Il33,Il1rl1,Secreted Signaling,
519,Il33,Il1rap,Secreted Signaling,
520,Ebi3_il12a,Il6st_il12rb2,Secreted Signaling,
521,Ebi3_il12a,Il6st,Secreted Signaling,
522,Ebi3_il12a,Il12rb2,Secreted Signaling,
