,from,to,pathway,database
462,CG1434,CG10654,ppi,ppi
463,Srp9,cbt,ppi,ppi
464,cerv,CG1529,ppi,ppi
465,nerfin-1,yki,ppi,ppi
466,SsRbeta,CG8950,ppi,ppi
467,COX5B,rdx,ppi,ppi
468,al,Hsp60A,ppi,ppi
469,C15,RpL29,ppi,ppi
470,BicD,Nelf-E,ppi,ppi
471,TH1,NELF-B,ppi,ppi
472,Kdm4A,CG34163,ppi,ppi
473,sd,nerfin-1,ppi,ppi
474,rush,Nf-YC,ppi,ppi
475,CG6523,bin,ppi,ppi
476,fs(1)h,BEAF-32,ppi,ppi
477,ovo,CG5382,ppi,ppi
478,Hsp27,CG8950,ppi,ppi
479,Jwa,grp,ppi,ppi
480,homer,CG32264,ppi,ppi
481,Tim10,pdm3,ppi,ppi
482,dco,CG17802,ppi,ppi
483,cad,Sry-beta,ppi,ppi
484,Df31,PHDP,ppi,ppi
485,Rrp47,CG14655,ppi,ppi
486,su(Hw),Mfe2,ppi,ppi
487,shf,ihog,ppi,ppi
488,msk,CG12769,ppi,ppi
489,E(spl)m8-HLH,CCDC53,ppi,ppi
490,CG13887,FoxP,ppi,ppi
491,bbx,D12,ppi,ppi
492,RYBP,grh,ppi,ppi
493,achi,RpL38,ppi,ppi
494,pad,His3:CG33833,ppi,ppi
495,Nelf-E,SMC2,ppi,ppi
496,CG4004,CG1792,ppi,ppi
497,san,CG31612,ppi,ppi
498,su(Hw),fs(1)h,ppi,ppi
499,su(Hw),fs(1)h,ppi,ppi
500,spn-F,IKKepsilon,ppi,ppi
501,spn-F,IKKepsilon,ppi,ppi
502,spn-F,IKKepsilon,ppi,ppi
503,spn-F,IKKepsilon,ppi,ppi
504,spn-F,IKKepsilon,ppi,ppi
505,spn-F,IKKepsilon,ppi,ppi
506,spn-F,IKKepsilon,ppi,ppi
507,Chi,CG1738,ppi,ppi
508,ct,beag,ppi,ppi
509,CG18476,CG14742,ppi,ppi
510,Met,Pfdn2,ppi,ppi
511,Bacc,REPTOR-BP,ppi,ppi
512,PQBP1,CG34376,ppi,ppi
513,RhoGEF2,Lmpt,ppi,ppi
514,svp,CG15478,ppi,ppi
515,svp,CG15478,ppi,ppi
516,C15,CG31457,ppi,ppi
517,bcd,CG15107,ppi,ppi
518,Nf-YA,coro,ppi,ppi
519,Xpc,otp,ppi,ppi
520,Ubx,CG32576,ppi,ppi
521,PSR,PheRS-m,ppi,ppi
522,HLH3B,CG14894,ppi,ppi
523,l(3)mbt,Lint-1,ppi,ppi
524,l(3)mbt,Lint-1,ppi,ppi
525,l(3)mbt,Lint-1,ppi,ppi
526,l(3)mbt,Lint-1,ppi,ppi
527,l(3)mbt,Lint-1,ppi,ppi
528,l(3)mbt,Lint-1,ppi,ppi
529,otp,Ku80,ppi,ppi
530,Pfdn2,bin,ppi,ppi
531,odd,Bacc,ppi,ppi
532,lolal,Rpb12,ppi,ppi
533,her,RpS27A,ppi,ppi
534,cact,pll,ppi,ppi
535,Galphao,loco,ppi,ppi
536,Galphao,loco,ppi,ppi
537,Galphao,loco,ppi,ppi
538,Rab11,vib,ppi,ppi
539,Rab11,vib,ppi,ppi
540,PR-Set7,Bacc,ppi,ppi
541,phol,Sgf11,ppi,ppi
542,Psc,RYBP,ppi,ppi
543,fs(1)h,east,ppi,ppi
544,CG5199,GATAe,ppi,ppi
545,CG1888,CG17359,ppi,ppi
546,robl,grh,ppi,ppi
547,en,gro,ppi,ppi
548,en,gro,ppi,ppi
549,en,gro,ppi,ppi
550,en,gro,ppi,ppi
551,en,gro,ppi,ppi
552,en,gro,ppi,ppi
553,en,gro,ppi,ppi
554,CG10366,CG6693,ppi,ppi
555,hrg,Sym,ppi,ppi
556,CG4415,Txl,ppi,ppi
557,bgcn,Sxl,ppi,ppi
558,bgcn,Sxl,ppi,ppi
559,Set,chn,ppi,ppi
560,Ebp,CG4415,ppi,ppi
561,Psi,CkIIalpha,ppi,ppi
562,loco,Odj,ppi,ppi
563,fs(1)K10,Pur-alpha,ppi,ppi
564,Poxn,CG14742,ppi,ppi
565,shf,boi,ppi,ppi
566,Blm,Pur-alpha,ppi,ppi
567,net,Rab9Db,ppi,ppi
568,Hsp27,CG3726,ppi,ppi
569,PHDP,fabp,ppi,ppi
570,RpL29,GATAe,ppi,ppi
571,achi,CG6568,ppi,ppi
572,CG11723,CG17059,ppi,ppi
573,Fkbp12,Glut4EF,ppi,ppi
574,CG4004,RYBP,ppi,ppi
575,otp,CG16753,ppi,ppi
576,Gdi,Rab10,ppi,ppi
577,roq,zf30C,ppi,ppi
578,CG2712,Tpr2,ppi,ppi
579,E(Pc),CG12054,ppi,ppi
580,Ubx,CG4707,ppi,ppi
581,atms,H15,ppi,ppi
582,CG1943,Vsx2,ppi,ppi
583,pdm2,nub,ppi,ppi
584,CG34376,RpS29,ppi,ppi
585,orb,lig,ppi,ppi
586,osk,par-1,ppi,ppi
587,Pur-alpha,qkr54B,ppi,ppi
588,RpII140,Rpb4,ppi,ppi
589,RpII33,CG8117,ppi,ppi
590,eIF2Bepsilon,CG1529,ppi,ppi
591,TfIIFbeta,RpII140,ppi,ppi
592,Nelf-E,CG3163,ppi,ppi
593,Eip75B,COX5B,ppi,ppi
594,B-H2,LSm7,ppi,ppi
595,dom,CG12054,ppi,ppi
596,Nelf-E,Ufd1-like,ppi,ppi
597,inv,CG12112,ppi,ppi
598,Scm,ph-p,ppi,ppi
599,Scm,ph-p,ppi,ppi
600,Scm,ph-p,ppi,ppi
601,Scm,ph-p,ppi,ppi
602,Scm,ph-p,ppi,ppi
603,Scm,ph-p,ppi,ppi
604,Scm,ph-p,ppi,ppi
605,mor,Trl,ppi,ppi
606,Cap-H2,Cap-D2,ppi,ppi
